AverageLoss	Counter	DH_Mean_NoPunct	DH_Sigma_NoPunct	Dependency	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	FileName	Language	Language_	ModelName
10.0	1990000	-3.003317	0.33978575	acl	0.9490254	0.39704552	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-1.051933	0.17667767	advcl	2.2029653	0.26563504	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	0.8647255	0.11983202	advmod	-0.6716216	0.10988603	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	3.3771467	0.30574256	amod	-4.836253	0.21406564	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-2.97422	0.50276977	appos	1.2814934	0.5711153	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	3.740993	0.34284613	aux	-0.55884606	0.14106315	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	2.9105718	0.15318581	case	0.55392736	0.11801309	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	4.23129	0.461336	cc	3.4206245	0.36675104	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-2.2511537	0.3174496	ccomp	1.0996088	0.43158585	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	1.9575716	0.19913776	compound	-5.9726806	0.31816077	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-4.3372965	0.4556156	conj	1.5356863	0.24776179	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	2.7912362	0.30703864	cop	-0.4330337	0.12110239	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-0.1721312	0.4319452	csubj	1.1891476	0.39273033	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-1.9094529	0.61320305	dep	1.9464444	0.5985029	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	4.705738	0.40840408	det	-2.19798	0.14748251	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	0.5795397	0.409926	discourse	1.5792222	0.46378502	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	0.33208132	0.9185225	dislocated	0.49650258	0.9590881	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	2.2822478	0.5119232	expl	0.64555067	0.49347445	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-2.5166476	0.5446891	fixed	0.00039962324	1.0039699	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-3.2406936	0.52958626	flat	-2.5308616	0.5413655	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-0.33222523	0.98263717	goeswith	-0.009049146	1.0425415	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-1.5269135	0.69750106	iobj	-1.9783896	0.70824546	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-1.432517	0.650718	list	-1.2608634	0.76571935	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	4.292572	0.43424648	mark	2.5119498	0.19670857	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-0.5893793	0.07656815	nmod	-1.5086522	0.1796697	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	2.9648528	0.19497913	nsubj	0.7752505	0.091084935	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	0.67936957	0.2490563	nummod	-2.1988788	0.44310254	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-2.8835213	0.2406739	obj	-1.2772906	0.24306892	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-1.7474049	0.13537875	obl	1.0952752	0.1399197	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	0.39840433	0.91590774	orphan	0.08174294	0.92507786	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-2.1612492	0.4114214	parataxis	2.5185344	0.35861573	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-0.007675438	1.0055367	punct	-0.0066336943	1.0116174	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	0.6827102	0.7215446	vocative	1.1171571	0.6502754	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-3.4908712	0.46618742	xcomp	0.38801268	0.30826163	6538273	English_2.6-500_inferRealGrammars.py	English-500_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-3.2220218	0.12819189	acl	3.0218344	0.1646234	7740434	German_2.6-10000_inferRealGrammars.py	German-10000_inferRealGrammars.py	inferRealGrammars.py
10.0	1990000	-0.66291827	0.07453347	advcl	2.1034427	0.12919714	7740434	German_2.6-10000_inferRealGrammars.py	German-10000_inferRealGrammars.py	inferRealGrammars.py
